;tree;pseudolatex
322;SUM,NEG,VR,NEG,MUL,VR,POW,x,5,E,NEG,MUL,VR,POW,x,8,E,MUL,VR,POW,x,6,E,MUL,VR,POW,x,9,E,NEG,MUL,VR,POW,x,3,E,MUL,VR,x,E,NEG,MUL,VR,POW,x,7,E,NEG,MUL,VR,POW,x,4,E,NEG,MUL,VR,POW,x,2,E,E;- VR - VR.x^{5} - VR.x^{8} + VR.x^{6} + VR.x^{9} - VR.x^{3} + VR.x - VR.x^{7} - VR.x^{4} - VR.x^{2}
323;SUM,NEG,MUL,VR,POW,x,3,E,MUL,VR,POW,x,6,E,NEG,VR,MUL,VR,x,E,MUL,VR,POW,x,8,E,NEG,MUL,VR,POW,x,5,E,MUL,VR,POW,x,9,E,MUL,VR,POW,x,7,E,NEG,MUL,VR,POW,x,10,E,MUL,VR,POW,x,4,E,MUL,VR,POW,x,2,E,E;- VR.x^{3} + VR.x^{6} - VR + VR.x + VR.x^{8} - VR.x^{5} + VR.x^{9} + VR.x^{7} - VR.x^{10} + VR.x^{4} + VR.x^{2}
324;SUM,NEG,VR,NEG,MUL,VR,POW,x,5,E,NEG,MUL,VR,x,E,NEG,MUL,VR,POW,x,4,E,NEG,MUL,VR,POW,x,3,E,NEG,MUL,VR,POW,x,7,E,MUL,VR,POW,x,6,E,NEG,MUL,VR,POW,x,2,E,E;- VR - VR.x^{5} - VR.x - VR.x^{4} - VR.x^{3} - VR.x^{7} + VR.x^{6} - VR.x^{2}
325;SUM,MUL,VR,POW,x,8,E,NEG,MUL,VR,POW,x,3,E,MUL,VR,POW,x,2,E,MUL,VR,x,E,NEG,MUL,VR,POW,x,6,E,MUL,VR,POW,x,5,E,MUL,VR,POW,x,7,E,NEG,MUL,VR,POW,x,4,E,VR,E;VR.x^{8} - VR.x^{3} + VR.x^{2} + VR.x - VR.x^{6} + VR.x^{5} + VR.x^{7} - VR.x^{4} + VR
326;SUM,MUL,VR,x,E,VR,MUL,VR,POW,x,2,E,NEG,MUL,VR,POW,x,3,E,E;VR.x + VR + VR.x^{2} - VR.x^{3}
327;SUM,VR,NEG,MUL,VR,POW,x,2,E,NEG,MUL,VR,x,E,MUL,VR,POW,x,3,E,E;VR - VR.x^{2} - VR.x + VR.x^{3}
328;SUM,MUL,VR,POW,x,5,E,NEG,MUL,VR,POW,x,3,E,NEG,MUL,VR,POW,x,4,E,NEG,MUL,VR,x,E,NEG,VR,NEG,MUL,VR,POW,x,2,E,E;VR.x^{5} - VR.x^{3} - VR.x^{4} - VR.x - VR - VR.x^{2}
329;SUM,NEG,MUL,VR,POW,x,2,E,NEG,VR,NEG,MUL,VR,POW,x,4,E,NEG,MUL,VR,POW,x,3,E,NEG,MUL,VR,x,E,E;- VR.x^{2} - VR - VR.x^{4} - VR.x^{3} - VR.x
330;SUM,NEG,MUL,VR,POW,x,3,E,NEG,MUL,VR,POW,x,2,E,NEG,MUL,VR,x,E,NEG,VR,E;- VR.x^{3} - VR.x^{2} - VR.x - VR
331;SUM,NEG,MUL,VR,POW,x,3,E,NEG,MUL,VR,POW,x,8,E,NEG,MUL,VR,POW,x,2,E,NEG,MUL,VR,POW,x,6,E,NEG,MUL,VR,x,E,NEG,VR,NEG,MUL,VR,POW,x,10,E,NEG,MUL,VR,POW,x,9,E,NEG,MUL,VR,POW,x,7,E,NEG,MUL,VR,POW,x,4,E,NEG,MUL,VR,POW,x,5,E,E;- VR.x^{3} - VR.x^{8} - VR.x^{2} - VR.x^{6} - VR.x - VR - VR.x^{10} - VR.x^{9} - VR.x^{7} - VR.x^{4} - VR.x^{5}
332;SUM,NEG,MUL,VR,POW,x,4,E,NEG,MUL,VR,x,E,NEG,MUL,VR,POW,x,2,E,NEG,MUL,VR,POW,x,5,E,NEG,VR,NEG,MUL,VR,POW,x,6,E,NEG,MUL,VR,POW,x,3,E,E;- VR.x^{4} - VR.x - VR.x^{2} - VR.x^{5} - VR - VR.x^{6} - VR.x^{3}
333;SUM,NEG,MUL,VR,x,E,NEG,MUL,VR,POW,x,4,E,NEG,MUL,VR,POW,x,2,E,NEG,MUL,VR,POW,x,5,E,NEG,VR,NEG,MUL,VR,POW,x,3,E,E;- VR.x - VR.x^{4} - VR.x^{2} - VR.x^{5} - VR - VR.x^{3}
334;SUM,NEG,MUL,VR,POW,x,2,E,NEG,MUL,VR,POW,x,3,E,NEG,MUL,VR,x,E,NEG,MUL,VR,POW,x,5,E,NEG,VR,NEG,MUL,VR,POW,x,6,E,NEG,MUL,VR,POW,x,4,E,E;- VR.x^{2} - VR.x^{3} - VR.x - VR.x^{5} - VR - VR.x^{6} - VR.x^{4}
335;SUM,NEG,MUL,VR,x,E,NEG,VR,E;- VR.x - VR
336;SUM,NEG,MUL,VR,POW,x,5,E,NEG,VR,NEG,MUL,VR,x,E,NEG,MUL,VR,POW,x,8,E,NEG,MUL,VR,POW,x,9,E,NEG,MUL,VR,POW,x,2,E,NEG,MUL,VR,POW,x,10,E,NEG,MUL,VR,POW,x,7,E,NEG,MUL,VR,POW,x,4,E,NEG,MUL,VR,POW,x,3,E,NEG,MUL,VR,POW,x,6,E,E;- VR.x^{5} - VR - VR.x - VR.x^{8} - VR.x^{9} - VR.x^{2} - VR.x^{10} - VR.x^{7} - VR.x^{4} - VR.x^{3} - VR.x^{6}
337;SUM,NEG,VR,NEG,MUL,VR,POW,x,2,E,NEG,MUL,VR,POW,x,4,E,NEG,MUL,VR,POW,x,6,E,NEG,MUL,VR,POW,x,5,E,NEG,MUL,VR,x,E,NEG,MUL,VR,POW,x,7,E,NEG,MUL,VR,POW,x,8,E,NEG,MUL,VR,POW,x,3,E,NEG,MUL,VR,POW,x,9,E,E;- VR - VR.x^{2} - VR.x^{4} - VR.x^{6} - VR.x^{5} - VR.x - VR.x^{7} - VR.x^{8} - VR.x^{3} - VR.x^{9}
338;SUM,NEG,MUL,VR,POW,x,3,E,NEG,MUL,VR,POW,x,5,E,NEG,VR,NEG,MUL,VR,x,E,NEG,MUL,VR,POW,x,2,E,NEG,MUL,VR,POW,x,4,E,E;- VR.x^{3} - VR.x^{5} - VR - VR.x - VR.x^{2} - VR.x^{4}
339;SUM,MUL,VR,POW,x,2,E,MUL,VR,x,E,VR,E;VR.x^{2} + VR.x + VR
340;SUM,MUL,VR,POW,x,9,E,MUL,VR,POW,x,6,E,MUL,VR,POW,x,5,E,MUL,VR,POW,x,2,E,MUL,VR,POW,x,7,E,MUL,VR,POW,x,3,E,MUL,VR,x,E,VR,MUL,VR,POW,x,4,E,MUL,VR,POW,x,8,E,E;VR.x^{9} + VR.x^{6} + VR.x^{5} + VR.x^{2} + VR.x^{7} + VR.x^{3} + VR.x + VR + VR.x^{4} + VR.x^{8}
341;SUM,MUL,VR,POW,x,5,E,MUL,VR,POW,x,7,E,VR,MUL,VR,POW,x,4,E,MUL,VR,POW,x,9,E,MUL,VR,POW,x,8,E,MUL,VR,POW,x,6,E,MUL,VR,POW,x,3,E,MUL,VR,x,E,MUL,VR,POW,x,2,E,E;VR.x^{5} + VR.x^{7} + VR + VR.x^{4} + VR.x^{9} + VR.x^{8} + VR.x^{6} + VR.x^{3} + VR.x + VR.x^{2}
342;SUM,MUL,VR,POW,x,4,E,MUL,VR,POW,x,2,E,MUL,VR,x,E,VR,MUL,VR,POW,x,5,E,MUL,VR,POW,x,3,E,E;VR.x^{4} + VR.x^{2} + VR.x + VR + VR.x^{5} + VR.x^{3}
343;SUM,MUL,VR,POW,x,10,E,MUL,VR,POW,x,5,E,MUL,VR,POW,x,7,E,VR,MUL,VR,POW,x,2,E,MUL,VR,POW,x,3,E,MUL,VR,POW,x,6,E,MUL,VR,x,E,MUL,VR,POW,x,4,E,MUL,VR,POW,x,8,E,MUL,VR,POW,x,9,E,E;VR.x^{10} + VR.x^{5} + VR.x^{7} + VR + VR.x^{2} + VR.x^{3} + VR.x^{6} + VR.x + VR.x^{4} + VR.x^{8} + VR.x^{9}
344;SUM,MUL,VR,POW,x,6,E,MUL,VR,POW,x,7,E,MUL,VR,POW,x,5,E,MUL,VR,x,E,VR,MUL,VR,POW,x,3,E,MUL,VR,POW,x,4,E,MUL,VR,POW,x,2,E,E;VR.x^{6} + VR.x^{7} + VR.x^{5} + VR.x + VR + VR.x^{3} + VR.x^{4} + VR.x^{2}
345;SUM,MUL,VR,x,E,MUL,VR,POW,x,4,E,MUL,VR,POW,x,9,E,MUL,VR,POW,x,2,E,MUL,VR,POW,x,5,E,VR,MUL,VR,POW,x,6,E,MUL,VR,POW,x,3,E,MUL,VR,POW,x,7,E,MUL,VR,POW,x,8,E,E;VR.x + VR.x^{4} + VR.x^{9} + VR.x^{2} + VR.x^{5} + VR + VR.x^{6} + VR.x^{3} + VR.x^{7} + VR.x^{8}
346;SUM,MUL,VR,POW,x,4,E,MUL,VR,POW,x,5,E,VR,MUL,VR,POW,x,2,E,MUL,VR,x,E,MUL,VR,POW,x,3,E,E;VR.x^{4} + VR.x^{5} + VR + VR.x^{2} + VR.x + VR.x^{3}
347;SUM,MUL,VR,x,E,VR,E;VR.x + VR
348;SUM,MUL,VR,x,E,MUL,VR,POW,x,2,E,MUL,VR,POW,x,4,E,MUL,VR,POW,x,6,E,MUL,VR,POW,x,3,E,MUL,VR,POW,x,5,E,MUL,VR,POW,x,7,E,VR,MUL,VR,POW,x,9,E,MUL,VR,POW,x,8,E,E;VR.x + VR.x^{2} + VR.x^{4} + VR.x^{6} + VR.x^{3} + VR.x^{5} + VR.x^{7} + VR + VR.x^{9} + VR.x^{8}
349;SUM,NEG,VR,NEG,MUL,VR,x,E,MUL,VR,POW,x,2,E,NEG,MUL,VR,POW,x,3,E,E;- VR - VR.x + VR.x^{2} - VR.x^{3}
350;SUM,NEG,VR,MUL,VR,x,E,MUL,VR,POW,x,2,E,NEG,MUL,VR,POW,x,3,E,MUL,VR,POW,x,4,E,MUL,VR,POW,x,5,E,NEG,MUL,VR,POW,x,6,E,NEG,MUL,VR,POW,x,7,E,NEG,MUL,VR,POW,x,8,E,E;- VR + VR.x + VR.x^{2} - VR.x^{3} + VR.x^{4} + VR.x^{5} - VR.x^{6} - VR.x^{7} - VR.x^{8}
351;SUM,VR,NEG,MUL,VR,x,E,NEG,MUL,VR,POW,x,2,E,MUL,VR,POW,x,3,E,MUL,VR,POW,x,4,E,MUL,VR,POW,x,5,E,MUL,VR,POW,x,6,E,MUL,VR,POW,x,7,E,MUL,VR,POW,x,8,E,E;VR - VR.x - VR.x^{2} + VR.x^{3} + VR.x^{4} + VR.x^{5} + VR.x^{6} + VR.x^{7} + VR.x^{8}
352;SUM,NEG,VR,NEG,MUL,VR,x,E,MUL,VR,POW,x,2,E,E;- VR - VR.x + VR.x^{2}
353;SUM,NEG,VR,MUL,VR,x,E,MUL,VR,POW,x,2,E,E;- VR + VR.x + VR.x^{2}
354;SUM,NEG,VR,NEG,MUL,VR,x,E,MUL,VR,POW,x,2,E,MUL,VR,POW,x,3,E,MUL,VR,POW,x,4,E,NEG,MUL,VR,POW,x,5,E,NEG,MUL,VR,POW,x,6,E,E;- VR - VR.x + VR.x^{2} + VR.x^{3} + VR.x^{4} - VR.x^{5} - VR.x^{6}
355;SUM,NEG,VR,NEG,MUL,VR,x,E,E;- VR - VR.x
356;SUM,VR,NEG,MUL,VR,x,E,MUL,VR,POW,x,2,E,MUL,VR,POW,x,3,E,NEG,MUL,VR,POW,x,4,E,MUL,VR,POW,x,5,E,MUL,VR,POW,x,6,E,MUL,VR,POW,x,7,E,MUL,VR,POW,x,8,E,MUL,VR,POW,x,9,E,NEG,MUL,VR,POW,x,10,E,E;VR - VR.x + VR.x^{2} + VR.x^{3} - VR.x^{4} + VR.x^{5} + VR.x^{6} + VR.x^{7} + VR.x^{8} + VR.x^{9} - VR.x^{10}
357;SUM,VR,MUL,VR,x,E,MUL,VR,POW,x,2,E,MUL,VR,POW,x,3,E,MUL,VR,POW,x,4,E,NEG,MUL,VR,POW,x,5,E,MUL,VR,POW,x,6,E,E;VR + VR.x + VR.x^{2} + VR.x^{3} + VR.x^{4} - VR.x^{5} + VR.x^{6}
358;SUM,VR,NEG,MUL,VR,x,E,NEG,MUL,VR,POW,x,2,E,MUL,VR,POW,x,3,E,NEG,MUL,VR,POW,x,4,E,NEG,MUL,VR,POW,x,5,E,MUL,VR,POW,x,6,E,NEG,MUL,VR,POW,x,7,E,MUL,VR,POW,x,8,E,E;VR - VR.x - VR.x^{2} + VR.x^{3} - VR.x^{4} - VR.x^{5} + VR.x^{6} - VR.x^{7} + VR.x^{8}
359;SUM,NEG,VR,NEG,MUL,VR,x,E,NEG,MUL,VR,POW,x,2,E,NEG,MUL,VR,POW,x,3,E,NEG,MUL,VR,POW,x,4,E,NEG,MUL,VR,POW,x,5,E,NEG,MUL,VR,POW,x,6,E,NEG,MUL,VR,POW,x,7,E,E;- VR - VR.x - VR.x^{2} - VR.x^{3} - VR.x^{4} - VR.x^{5} - VR.x^{6} - VR.x^{7}
360;SUM,NEG,VR,NEG,MUL,VR,x,E,NEG,MUL,VR,POW,x,2,E,NEG,MUL,VR,POW,x,3,E,NEG,MUL,VR,POW,x,4,E,E;- VR - VR.x - VR.x^{2} - VR.x^{3} - VR.x^{4}
361;SUM,NEG,VR,NEG,MUL,VR,x,E,NEG,MUL,VR,POW,x,2,E,NEG,MUL,VR,POW,x,3,E,NEG,MUL,VR,POW,x,4,E,NEG,MUL,VR,POW,x,5,E,NEG,MUL,VR,POW,x,6,E,NEG,MUL,VR,POW,x,7,E,NEG,MUL,VR,POW,x,8,E,NEG,MUL,VR,POW,x,9,E,E;- VR - VR.x - VR.x^{2} - VR.x^{3} - VR.x^{4} - VR.x^{5} - VR.x^{6} - VR.x^{7} - VR.x^{8} - VR.x^{9}
362;SUM,NEG,VR,NEG,MUL,VR,x,E,NEG,MUL,VR,POW,x,2,E,NEG,MUL,VR,POW,x,3,E,NEG,MUL,VR,POW,x,4,E,NEG,MUL,VR,POW,x,5,E,NEG,MUL,VR,POW,x,6,E,NEG,MUL,VR,POW,x,7,E,E;- VR - VR.x - VR.x^{2} - VR.x^{3} - VR.x^{4} - VR.x^{5} - VR.x^{6} - VR.x^{7}
363;SUM,NEG,VR,NEG,MUL,VR,x,E,NEG,MUL,VR,POW,x,2,E,NEG,MUL,VR,POW,x,3,E,NEG,MUL,VR,POW,x,4,E,NEG,MUL,VR,POW,x,5,E,NEG,MUL,VR,POW,x,6,E,NEG,MUL,VR,POW,x,7,E,NEG,MUL,VR,POW,x,8,E,NEG,MUL,VR,POW,x,9,E,E;- VR - VR.x - VR.x^{2} - VR.x^{3} - VR.x^{4} - VR.x^{5} - VR.x^{6} - VR.x^{7} - VR.x^{8} - VR.x^{9}
364;SUM,NEG,VR,NEG,MUL,VR,x,E,NEG,MUL,VR,POW,x,2,E,NEG,MUL,VR,POW,x,3,E,NEG,MUL,VR,POW,x,4,E,NEG,MUL,VR,POW,x,5,E,NEG,MUL,VR,POW,x,6,E,NEG,MUL,VR,POW,x,7,E,E;- VR - VR.x - VR.x^{2} - VR.x^{3} - VR.x^{4} - VR.x^{5} - VR.x^{6} - VR.x^{7}
365;SUM,NEG,VR,NEG,MUL,VR,x,E,NEG,MUL,VR,POW,x,2,E,NEG,MUL,VR,POW,x,3,E,NEG,MUL,VR,POW,x,4,E,E;- VR - VR.x - VR.x^{2} - VR.x^{3} - VR.x^{4}
366;SUM,NEG,VR,NEG,MUL,VR,x,E,NEG,MUL,VR,POW,x,2,E,E;- VR - VR.x - VR.x^{2}
367;SUM,NEG,VR,NEG,MUL,VR,x,E,NEG,MUL,VR,POW,x,2,E,NEG,MUL,VR,POW,x,3,E,NEG,MUL,VR,POW,x,4,E,NEG,MUL,VR,POW,x,5,E,NEG,MUL,VR,POW,x,6,E,NEG,MUL,VR,POW,x,7,E,NEG,MUL,VR,POW,x,8,E,E;- VR - VR.x - VR.x^{2} - VR.x^{3} - VR.x^{4} - VR.x^{5} - VR.x^{6} - VR.x^{7} - VR.x^{8}
368;SUM,NEG,VR,NEG,MUL,VR,x,E,NEG,MUL,VR,POW,x,2,E,NEG,MUL,VR,POW,x,3,E,NEG,MUL,VR,POW,x,4,E,NEG,MUL,VR,POW,x,5,E,NEG,MUL,VR,POW,x,6,E,NEG,MUL,VR,POW,x,7,E,NEG,MUL,VR,POW,x,8,E,NEG,MUL,VR,POW,x,9,E,NEG,MUL,VR,POW,x,10,E,E;- VR - VR.x - VR.x^{2} - VR.x^{3} - VR.x^{4} - VR.x^{5} - VR.x^{6} - VR.x^{7} - VR.x^{8} - VR.x^{9} - VR.x^{10}
369;SUM,VR,MUL,VR,x,E,MUL,VR,POW,x,2,E,MUL,VR,POW,x,3,E,MUL,VR,POW,x,4,E,E;VR + VR.x + VR.x^{2} + VR.x^{3} + VR.x^{4}
370;SUM,VR,MUL,VR,x,E,MUL,VR,POW,x,2,E,MUL,VR,POW,x,3,E,MUL,VR,POW,x,4,E,MUL,VR,POW,x,5,E,MUL,VR,POW,x,6,E,MUL,VR,POW,x,7,E,E;VR + VR.x + VR.x^{2} + VR.x^{3} + VR.x^{4} + VR.x^{5} + VR.x^{6} + VR.x^{7}
371;SUM,VR,MUL,VR,x,E,MUL,VR,POW,x,2,E,MUL,VR,POW,x,3,E,MUL,VR,POW,x,4,E,MUL,VR,POW,x,5,E,MUL,VR,POW,x,6,E,E;VR + VR.x + VR.x^{2} + VR.x^{3} + VR.x^{4} + VR.x^{5} + VR.x^{6}
372;SUM,VR,MUL,VR,x,E,MUL,VR,POW,x,2,E,MUL,VR,POW,x,3,E,MUL,VR,POW,x,4,E,MUL,VR,POW,x,5,E,MUL,VR,POW,x,6,E,E;VR + VR.x + VR.x^{2} + VR.x^{3} + VR.x^{4} + VR.x^{5} + VR.x^{6}
373;SUM,VR,MUL,VR,x,E,MUL,VR,POW,x,2,E,MUL,VR,POW,x,3,E,MUL,VR,POW,x,4,E,MUL,VR,POW,x,5,E,E;VR + VR.x + VR.x^{2} + VR.x^{3} + VR.x^{4} + VR.x^{5}
374;SUM,VR,MUL,VR,x,E,MUL,VR,POW,x,2,E,MUL,VR,POW,x,3,E,MUL,VR,POW,x,4,E,MUL,VR,POW,x,5,E,MUL,VR,POW,x,6,E,MUL,VR,POW,x,7,E,E;VR + VR.x + VR.x^{2} + VR.x^{3} + VR.x^{4} + VR.x^{5} + VR.x^{6} + VR.x^{7}
375;SUM,VR,MUL,VR,x,E,E;VR + VR.x
376;SUM,VR,MUL,VR,x,E,E;VR + VR.x
377;SUM,VR,MUL,VR,x,E,MUL,VR,POW,x,2,E,E;VR + VR.x + VR.x^{2}
378;SUM,VR,MUL,VR,x,E,MUL,VR,POW,x,2,E,MUL,VR,POW,x,3,E,MUL,VR,POW,x,4,E,MUL,VR,POW,x,5,E,E;VR + VR.x + VR.x^{2} + VR.x^{3} + VR.x^{4} + VR.x^{5}
379;SUM,MUL,VR,POW,x,2,E,MUL,VR,x,E,VR,E;VR.x^{2} + VR.x + VR
380;SUM,MUL,VR,POW,x,4,E,MUL,VR,POW,x,3,E,MUL,VR,POW,x,2,E,MUL,VR,x,E,VR,E;VR.x^{4} + VR.x^{3} + VR.x^{2} + VR.x + VR
381;SUM,MUL,VR,x,E,NEG,VR,E;VR.x - VR
382;SUM,MUL,VR,POW,x,2,E,MUL,VR,x,E,VR,E;VR.x^{2} + VR.x + VR
383;SUM,NEG,MUL,VR,POW,x,2,E,MUL,VR,x,E,NEG,VR,E;- VR.x^{2} + VR.x - VR
384;SUM,MUL,VR,POW,x,5,E,MUL,VR,POW,x,4,E,NEG,MUL,VR,POW,x,3,E,MUL,VR,POW,x,2,E,MUL,VR,x,E,VR,E;VR.x^{5} + VR.x^{4} - VR.x^{3} + VR.x^{2} + VR.x + VR
385;SUM,MUL,VR,POW,x,6,E,NEG,MUL,VR,POW,x,5,E,NEG,MUL,VR,POW,x,4,E,MUL,VR,POW,x,3,E,NEG,MUL,VR,POW,x,2,E,MUL,VR,x,E,VR,E;VR.x^{6} - VR.x^{5} - VR.x^{4} + VR.x^{3} - VR.x^{2} + VR.x + VR
386;SUM,MUL,VR,POW,x,6,E,NEG,MUL,VR,POW,x,5,E,NEG,MUL,VR,POW,x,4,E,NEG,MUL,VR,POW,x,3,E,NEG,MUL,VR,POW,x,2,E,MUL,VR,x,E,NEG,VR,E;VR.x^{6} - VR.x^{5} - VR.x^{4} - VR.x^{3} - VR.x^{2} + VR.x - VR
387;SUM,MUL,VR,POW,x,9,E,MUL,VR,POW,x,8,E,MUL,VR,POW,x,7,E,NEG,MUL,VR,POW,x,6,E,MUL,VR,POW,x,5,E,NEG,MUL,VR,POW,x,4,E,NEG,MUL,VR,POW,x,3,E,NEG,MUL,VR,POW,x,2,E,NEG,MUL,VR,x,E,NEG,VR,E;VR.x^{9} + VR.x^{8} + VR.x^{7} - VR.x^{6} + VR.x^{5} - VR.x^{4} - VR.x^{3} - VR.x^{2} - VR.x - VR
388;SUM,NEG,MUL,VR,POW,x,8,E,MUL,VR,POW,x,7,E,NEG,MUL,VR,POW,x,6,E,MUL,VR,POW,x,5,E,MUL,VR,POW,x,4,E,MUL,VR,POW,x,3,E,MUL,VR,POW,x,2,E,MUL,VR,x,E,NEG,VR,E;- VR.x^{8} + VR.x^{7} - VR.x^{6} + VR.x^{5} + VR.x^{4} + VR.x^{3} + VR.x^{2} + VR.x - VR
389;SUM,NEG,MUL,VR,POW,x,3,E,NEG,MUL,VR,POW,x,2,E,NEG,MUL,VR,x,E,NEG,VR,E;- VR.x^{3} - VR.x^{2} - VR.x - VR
390;SUM,NEG,MUL,VR,POW,x,2,E,NEG,MUL,VR,x,E,NEG,VR,E;- VR.x^{2} - VR.x - VR
391;SUM,NEG,MUL,VR,POW,x,7,E,NEG,MUL,VR,POW,x,6,E,NEG,MUL,VR,POW,x,5,E,NEG,MUL,VR,POW,x,4,E,NEG,MUL,VR,POW,x,3,E,NEG,MUL,VR,POW,x,2,E,NEG,MUL,VR,x,E,NEG,VR,E;- VR.x^{7} - VR.x^{6} - VR.x^{5} - VR.x^{4} - VR.x^{3} - VR.x^{2} - VR.x - VR
392;SUM,NEG,MUL,VR,POW,x,3,E,NEG,MUL,VR,POW,x,2,E,NEG,MUL,VR,x,E,NEG,VR,E;- VR.x^{3} - VR.x^{2} - VR.x - VR
393;SUM,NEG,MUL,VR,POW,x,9,E,NEG,MUL,VR,POW,x,8,E,NEG,MUL,VR,POW,x,7,E,NEG,MUL,VR,POW,x,6,E,NEG,MUL,VR,POW,x,5,E,NEG,MUL,VR,POW,x,4,E,NEG,MUL,VR,POW,x,3,E,NEG,MUL,VR,POW,x,2,E,NEG,MUL,VR,x,E,NEG,VR,E;- VR.x^{9} - VR.x^{8} - VR.x^{7} - VR.x^{6} - VR.x^{5} - VR.x^{4} - VR.x^{3} - VR.x^{2} - VR.x - VR
394;SUM,NEG,MUL,VR,POW,x,3,E,NEG,MUL,VR,POW,x,2,E,NEG,MUL,VR,x,E,NEG,VR,E;- VR.x^{3} - VR.x^{2} - VR.x - VR
395;SUM,NEG,MUL,VR,x,E,NEG,VR,E;- VR.x - VR
396;SUM,NEG,MUL,VR,POW,x,6,E,NEG,MUL,VR,POW,x,5,E,NEG,MUL,VR,POW,x,4,E,NEG,MUL,VR,POW,x,3,E,NEG,MUL,VR,POW,x,2,E,NEG,MUL,VR,x,E,NEG,VR,E;- VR.x^{6} - VR.x^{5} - VR.x^{4} - VR.x^{3} - VR.x^{2} - VR.x - VR
397;SUM,NEG,MUL,VR,POW,x,9,E,NEG,MUL,VR,POW,x,8,E,NEG,MUL,VR,POW,x,7,E,NEG,MUL,VR,POW,x,6,E,NEG,MUL,VR,POW,x,5,E,NEG,MUL,VR,POW,x,4,E,NEG,MUL,VR,POW,x,3,E,NEG,MUL,VR,POW,x,2,E,NEG,MUL,VR,x,E,NEG,VR,E;- VR.x^{9} - VR.x^{8} - VR.x^{7} - VR.x^{6} - VR.x^{5} - VR.x^{4} - VR.x^{3} - VR.x^{2} - VR.x - VR
398;SUM,NEG,MUL,VR,POW,x,6,E,NEG,MUL,VR,POW,x,5,E,NEG,MUL,VR,POW,x,4,E,NEG,MUL,VR,POW,x,3,E,NEG,MUL,VR,POW,x,2,E,NEG,MUL,VR,x,E,NEG,VR,E;- VR.x^{6} - VR.x^{5} - VR.x^{4} - VR.x^{3} - VR.x^{2} - VR.x - VR
399;SUM,MUL,VR,POW,x,2,E,MUL,VR,x,E,VR,E;VR.x^{2} + VR.x + VR
400;SUM,MUL,VR,x,E,VR,E;VR.x + VR
401;SUM,MUL,VR,POW,x,2,E,MUL,VR,x,E,VR,E;VR.x^{2} + VR.x + VR
402;SUM,MUL,VR,POW,x,5,E,MUL,VR,POW,x,4,E,MUL,VR,POW,x,3,E,MUL,VR,POW,x,2,E,MUL,VR,x,E,VR,E;VR.x^{5} + VR.x^{4} + VR.x^{3} + VR.x^{2} + VR.x + VR
403;SUM,MUL,VR,POW,x,6,E,MUL,VR,POW,x,5,E,MUL,VR,POW,x,4,E,MUL,VR,POW,x,3,E,MUL,VR,POW,x,2,E,MUL,VR,x,E,VR,E;VR.x^{6} + VR.x^{5} + VR.x^{4} + VR.x^{3} + VR.x^{2} + VR.x + VR
404;SUM,MUL,VR,POW,x,10,E,MUL,VR,POW,x,9,E,MUL,VR,POW,x,8,E,MUL,VR,POW,x,7,E,MUL,VR,POW,x,6,E,MUL,VR,POW,x,5,E,MUL,VR,POW,x,4,E,MUL,VR,POW,x,3,E,MUL,VR,POW,x,2,E,MUL,VR,x,E,VR,E;VR.x^{10} + VR.x^{9} + VR.x^{8} + VR.x^{7} + VR.x^{6} + VR.x^{5} + VR.x^{4} + VR.x^{3} + VR.x^{2} + VR.x + VR
405;SUM,MUL,VR,POW,x,4,E,MUL,VR,POW,x,3,E,MUL,VR,POW,x,2,E,MUL,VR,x,E,VR,E;VR.x^{4} + VR.x^{3} + VR.x^{2} + VR.x + VR
406;SUM,MUL,VR,POW,x,8,E,MUL,VR,POW,x,7,E,MUL,VR,POW,x,6,E,MUL,VR,POW,x,5,E,MUL,VR,POW,x,4,E,MUL,VR,POW,x,3,E,MUL,VR,POW,x,2,E,MUL,VR,x,E,VR,E;VR.x^{8} + VR.x^{7} + VR.x^{6} + VR.x^{5} + VR.x^{4} + VR.x^{3} + VR.x^{2} + VR.x + VR
407;SUM,MUL,VR,POW,x,7,E,MUL,VR,POW,x,6,E,MUL,VR,POW,x,5,E,MUL,VR,POW,x,4,E,MUL,VR,POW,x,3,E,MUL,VR,POW,x,2,E,MUL,VR,x,E,VR,E;VR.x^{7} + VR.x^{6} + VR.x^{5} + VR.x^{4} + VR.x^{3} + VR.x^{2} + VR.x + VR
408;SUM,MUL,VR,POW,x,4,E,MUL,VR,POW,x,3,E,MUL,VR,POW,x,2,E,MUL,VR,x,E,VR,E;VR.x^{4} + VR.x^{3} + VR.x^{2} + VR.x + VR
409;SUM,NEG,MUL,VC,POW,x,5,E,MUL,VC,POW,x,10,E,NEG,MUL,VC,POW,x,4,E,MUL,VC,POW,x,7,E,MUL,VC,POW,x,8,E,NEG,MUL,VC,x,E,NEG,MUL,VC,POW,x,3,E,NEG,MUL,VC,POW,x,2,E,MUL,VC,POW,x,9,E,NEG,VC,NEG,MUL,VC,POW,x,6,E,E;- VC.x^{5} + VC.x^{10} - VC.x^{4} + VC.x^{7} + VC.x^{8} - VC.x - VC.x^{3} - VC.x^{2} + VC.x^{9} - VC - VC.x^{6}
